case_name,url,date,case_type,matter_number,case_status,summary,tags,long_title,statutes,penalty_usd
"LabMD, Inc. v. Federal Trade Commission",https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3099-labmd-inc-v-federal-trade-commission,2019-08-30,Federal,1023099,,"The Federal Trade Commission filed a complaint against medical testing laboratory LabMD, Inc. alleging that the company failed to reasonably protect the security of consumers’ personal data, including medical information.",Consumer Protection; Health Care; Health Professional Services; Privacy and Security; Data Security,"LabMD, Inc., Plaintiff-Appellant v. Federal Trade Commission, Defendant-Appellee",,
"SecurTest, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3152-securtest-inc-matter,2019-08-21,Administrative,1823152,,"The FTC alleged that while SecurTest initiated a Privacy Shield application in September 2017 with the U.S. Department of Commerce, the company did not complete the steps necessary to be certified as complying with the frameworks. Because it failed to complete certification, SecurTest was not a certified participant in the frameworks, despite representations to the contrary on its website. The settlement with the FTC prohibits SecurTest from misrepresenting its participation in any privacy or security program sponsored by a government, self-regulatory, or standard-setting organization, including the EU-U.S. Privacy Shield and Swiss-U.S. Privacy Shield frameworks. It also must comply with reporting and compliance requirements.",Consumer Protection; international cooperation; Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of SecurTest, Inc., a corporation",Privacy Shield; Safe Harbor,
"Equifax, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3203-equifax-inc,2019-07-31,Federal,1723203,,"Equifax, Inc. agreed to pay at least $575 million, and potentially up to $700 million, as part of a global settlement with the Federal Trade Commission, the Consumer Financial Protection Bureau (CFPB), and 50 U.S. states and territories to settle allegations that the credit reporting company's failed to take reasonable steps to secure its network.",Consumer Protection; Bureau of Consumer Protection; consumer refunds; Privacy and Security; Credit Reporting; Data Security; Gramm-Leach-Bliley Act,"Federal Trade Commission, Plaintiff, v. Equifax, Inc., Defendant.",GLBA; FCRA,700000000.0
D-Link,https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3157-x170030-d-link,2019-07-02,Federal,1323157,,"D-Link Systems, Inc., agreed to implement a comprehensive software security program in order to settle Federal Trade Commission allegations over misrepresentations that the company took reasonable steps to secure its wireless routers and Internet-connected cameras.",Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Data Security; Tech,"Federal Trade Commission, Plaintiff, v. D-Link Corporation and D-Link Systems, Inc., corporations, Defendants.",,
"James V. Grago, Jr. doing business as ClixSense.com, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3003-james-v-grago-jr-doing-business-clixsensecom-matter,2019-07-02,Administrative,1723003,,"James V. Grago, Jr. online rewards website ClixSense.com settled allegations from the Fewill be required to implement a comprehensive information security program before collecting personal information as part of a final settlement with the Federal Trade Commission related to allegations that he failed to take reasonable steps to protect personal data.",Consumer Protection; Privacy and Security; Data Security,"In the Matter of James V. Grago, Jr., individually and doing business as ClixSense.com",,
"Unixiz, Inc. doing business as i-Dressup.com",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3002-unixiz-inc-doing-business-i-dressupcom,2019-04-24,Federal,1723002,,"Unixiz, Inc., doing business as i-Dressup.com, and the individually named defendants CEO Zhijun Liu and Secretary Xichen Zhang, reached a settlement over allegations they violated the Children’s Online Privacy Protection Act (COPPA).",Consumer Protection; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,"United States of America (For the Federal Trade Commission), Plaintiff, v. Unixiz, Inc., a corporation doing business as i-Dressup.com, and Zhijun Liu and Xichen Zhang, individually and as officers of Unixiz, Inc., Defendants.",COPPA,
"Musical.ly, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3004-musically-inc,2019-02-27,Federal,1723004,,"Video social networking app Musical.ly, Inc., now known as TikTok, agreed to pay $5.7 million to settle Federal Trade Commission allegations that the company illegally collected personal information from children in violation of the Children's Online Privacy Protection Act.",Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"United States of America (For the Federal Trade Commission), Plaintiff, v. Musical.ly, a corporation; and Musical.ly, Inc. a corporation, Defendant.",COPPA,5700000.0
"VenPath, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3144-venpath-inc-matter,2018-11-19,Administrative,1823144,,,Consumer Protection; international cooperation; Software and Databases; Privacy and Security; Consumer Privacy; Data Security,"In the Matter of VenPath, Inc., a corporation.",,
"SmartStart Employment Screening, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3154-smartstart-employment-screening-inc-matter,2018-11-19,Administrative,1823154,,,Consumer Protection; Bureau of Consumer Protection; international cooperation; Technology; Software and Databases; Privacy and Security; Children's Privacy; Data Security; Privacy Shield; Data Privacy Framework,"In the Matter of SmartStart Employment Screening, Inc., a corporation.",Privacy Shield,
"mResource LLC (Loop Works LLC), In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3143-mresource-llc-loop-works-llc-matter,2018-11-19,Administrative,1823143,,,Consumer Protection; Privacy and Security; Consumer Privacy; Data Security; Privacy Shield; Data Privacy Framework,"In the Matter of mResource LLC, a corporation, doing business as Loop Works LLC",Privacy Shield,
"ReadyTech Corporation, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3100-readytech-corporation-matter,2018-11-08,Administrative,1823100,,,Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of ReadyTech Corporation, a corporation.",Privacy Shield,
"Uber Technologies, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3054-c-4662-uber-technologies-inc-matter,2018-10-29,Administrative,1523054,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Consumer Privacy; Data Security,"In the Matter of Uber Technologies, Inc., a corporation.",,
"RealPage, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3059-realpage-inc,2018-10-16,Federal,1523059,,,Consumer Protection; Fair Credit Reporting Act (FCRA); Privacy and Security; Credit Reporting,"Federal Trade Commission, Plaintiff, v. RealPage, Inc., a corporation, Defendant.",FCRA,
"IDmission LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3150-idmission-llc-matter,2018-10-11,Administrative,1823150,,,Consumer Protection; Bureau of Consumer Protection; Technology; Privacy and Security; Consumer Privacy; Data Security; Privacy Shield; Data Privacy Framework,"In the Matter of IDmission LLC, a corporation.",Privacy Shield,
Katrina Moore,https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3111-katrina-moore,2018-09-18,Federal,1723111,,,Consumer Protection; Fake Check; Identity Theft; Finance; Credit and Finance; Privacy and Security,"Federal Trade Commission, Plaintiff, v. Katrina Moore, individually and also doing business as Innovative Paycheck Solutions, and FakePayStubOnline.com, Defendant.",,
"Integrated Flight Solutions, et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3151-integrated-flight-solutions-et-al,2018-09-18,Federal,1723151,,,Consumer Protection; Fake Check; Identity Theft; Credit and Finance; Privacy and Security,"Federal Trade Commission, Plaintiff, v. Integrated Flight Solutions LLC, a Oregon limited liability company, also doing business as NoveltyExcuses.com; and Steven Simmons, individually and also doing business as AB Productions, Inc., A.B. Pro., and NoveltyExcuses.com, and as an officer of Integrated Flight Solutions LLC, Defendants.",,
"Apartment Hunters, Inc. et al. (Wetakesection8.com)",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3007-apartment-hunters-inc-et-al-wetakesection8com,2018-09-17,Federal,1723007,,,Consumer Protection; Bureau of Consumer Protection; Fake Check; Identity Theft; housing; deceptive/misleading conduct; Credit and Finance; Privacy and Security,"Federal Trade Commission, Plaintiff, v. Apartment Hunters, Inc., a California corporation, also doing business as WeTakeSection8.com, ApartmentHunterz.com, and FeaturedRentals.com; Real Estate Data Solutions, Inc., a California corporation; Rental Home Listings Inc., a California corporation; UAB Apartment Hunters LT, is a Lithuania limited liability company; Steven Shayan, individually and as an officer of Apartment Hunters, Inc., Real Estate Data Solutions, Inc., Rental Home Listings Inc., and UAB Apartment Hunters LT; and Kevin Shayan, also known as Kaveh Shayan, individually and as a manager or de facto officer of Apartment Hunters, Inc., Real Estate Data Solutions, Inc., Rental Home Listings Inc., and UAB Apartment Hunters LT, Defendants.",,
"BLU Products and Samuel Ohev-Zion, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3025-blu-products-samuel-ohev-zion-matter,2018-09-11,Administrative,1723025,,,Consumer Protection; Technology; Mobile; Privacy and Security; Consumer Privacy; Data Security,"In the Matter of BLU Products, Inc., a corporation; and Samuel Ohev-Zion, individually and as owner and President of BLU Products, Inc.",,
"PayPal, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3102-paypal-inc-matter,2018-05-24,Administrative,1623102,,,Consumer Protection; Credit and Finance; Payments and Billing; Privacy and Security; Consumer Privacy; Data Security; Gramm-Leach-Bliley Act; Tech; FinTech,"In the Matter of PayPal, Inc., a corporation.",GLBA,
"Sears Holdings Management Corporation, a corporation, in the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/082-3099-c-4264-sears-holdings-management-corporation-corporation-matter,2018-02-28,Administrative,0823099,,,Consumer Protection; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Consumer Privacy,"In the Matter of Sears Holdings Management Corporation, a corporation.",,
"Prime Sites, Inc. (Explore Talent)",https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3218-prime-sites-inc-explore-talent,2018-02-12,Federal,1623218,,,Consumer Protection; Children's Online Privacy Protection Act (COPPA); Advertising and Marketing; Advertising and Marketing Basics; Privacy and Security; Children's Privacy,"United States of America, Plaintiff v. Prime Sites, Inc., a Nevada corporation, also doing business as Explore Talent, Defendant.",COPPA,
VTech Electronics Limited,https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3032-vtech-electronics-limited,2018-01-08,Federal,1623032,,,Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy; Data Security,"United States of America (on behalf of the Federal Trade Commission), Plaintiff, v. VTech Electonics Limited, a corporation, and VTech Electronics North America, LLC, a limited liability company, Defendants.",COPPA,
"Jerk, LLC, d/b/a Jerk.com, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/122-3141-jerk-llc-dba-jerkcom-matter,2018-01-08,Administrative,1223141,,,Consumer Protection; Finance; Privacy and Security; Consumer Privacy,"In the Matter of Jerk, LLC, a limited liability company, also doing business as JERK.COM, and John Fanning, individually and as a member of Jerk, LLC.",,
"Lenovo, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3134-lenovo-inc,2018-01-02,Administrative,1523134,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Consumer Privacy; Data Security,"In the Matter of. Lenovo (United States) Inc., a corporation",,
"Decusoft, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3173-decusoft-llc-matter,2017-11-29,Administrative,1723173,,,Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of Decusoft, LLC, a limited liability company",Privacy Shield,
"Tru Communication, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3171-tru-communication-inc-matter,2017-11-29,Administrative,1723171,,,Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of Tru Communication, Inc., doing business as TCPrinting.net",Privacy Shield,
"Md7, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3172-md7-llc-matter,2017-11-29,Administrative,1723172,,,Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of Md7, LLC, a limited liability company",Privacy Shield,
"TaxSlayer, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3063-taxslayer-matter,2017-11-08,Administrative,1623063,,,Consumer Protection; Privacy and Security; Consumer Privacy; Data Security; Gramm-Leach-Bliley Act,"In the Matter of TaxSlayer, LLC, a corporation.",GLBA,
Ashley Madison,https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3284-ashley-madison,2017-09-27,Federal,1523284,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Consumer Privacy; Data Security,"Federal Trade Commission, Plaintiff v. Ruby Corp., Ruby Life Inc., also doing business as AshleyMadison.com, and ADL Media Inc., Defendants.",,
"Infante, Aniello",https://www.ftc.gov/legal-library/browse/cases-proceedings/1623052-infante-aniello,2017-06-22,Process Enforcement,1623052,Closed,,Consumer Protection; Consumer Privacy; Tech,Federal Trade Commission v. Aniello Infante,,
"Turn Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3099-turn-inc-matter,2017-04-21,Administrative,1523099,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Consumer Privacy; Tech,"In the Matter of Turn Inc., a corporation.",,
"Upromise, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3116-c-4351-upromise-inc,2017-03-23,Federal,1023116/C-4351,,,Consumer Protection; Bureau of Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Consumer Privacy,"United States of America (on behalf of the Federal Trade Commission), Plaintiff, v. Upromise, Inc., Defendant",,
"VIZIO, INC. and VIZIO Inscape Services, LLC",https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3024-vizio-inc-vizio-inscape-services-llc,2017-02-06,Federal,1623024,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Technology; Privacy and Security; Consumer Privacy; Tech,"Federal Trade Commission, Christopher S. Porrino, Attorney General of the State of New Jersey, and Steve C. Lee, Director of the New Jersey Division of Consumer Affairs, Plaintiffs, v. VIZIO, INC., a Delaware corporation, and VIZIO Inscape Services, LLC a Delaware limited liability company, Defendants.",,
"LabMD, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3099-labmd-inc-matter,2016-09-29,Administrative,1023099,,"The Federal Trade Commission filed a complaint against medical testing laboratory LabMD, Inc. alleging that the company failed to reasonably protect the security of consumers’ personal data, including medical information. The complaint alleges that in two separate incidents, LabMD collectively exposed the personal information of approximately 10,000 consumers. The complaint alleges that LabMD billing information for over 9,000 consumers was found on a peer-to-peer (P2P) file-sharing network and then, in 2012, LabMD documents containing sensitive personal information of at least 500 consumers were found in the hands of identity thieves. The case is part of an ongoing effort by the Commission to ensure that companies take reasonable and appropriate measures to protect consumers’ personal data.",Consumer Protection; Health Care; Privacy and Security; Data Security,"In the Matter of LabMD, Inc., a corporation",,
"Practice Fusion, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3039-practice-fusion-inc-matter,2016-08-16,Administrative,1423039,,,Consumer Protection; Privacy and Security; Consumer Privacy; Health Privacy,"In the Matter of Practice Fusion, Inc.",,
"Very Incognito Technologies, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3034-very-incognito-technologies-matter,2016-08-05,Administrative,1623034,,,Consumer Protection; Privacy and Security; Consumer Privacy,"In the Matter of Very Incognito Technologies, Inc., a corporation doing business as Vipvape",,
"ASUSTeK Computer Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3156-asustek-computer-inc-matter,2016-07-28,Administrative,1423156,,,Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Data Security; Tech,In the Matter of ASUSTeK Computer Inc.,,
InMobi Pte Ltd.,https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3203-inmobi-pte-ltd,2016-06-22,Federal,1523203,,,Consumer Protection; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy; Consumer Privacy; Tech,"United States of America (For the Federal Trade Commission), Plaintiff, v. InMobi Pte Ltd., a private limited company, Defendant.",COPPA,
"Tracers Information Specialists, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/1523218-tracers-information-specialists-inc,2016-06-10,Process Enforcement,1523218,Closed,,Consumer Protection; Office of the General Counsel; Bureau of Consumer Protection; Software and Databases; Consumer Privacy; Credit Reporting,"Federal Trade Commission v. Tracers Information Specialists, Inc.",FCRA,
"Henry Schein Practice Solutions, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3161-c4575-henry-schein-practice-solutions-inc-matter,2016-05-23,Administrative,1423161,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Data Security; Small Business; Health Privacy,"In the Matter of Henry Schein Practice Solutions, Inc., a corporation",,
Credit Protection Association,https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3142-credit-protection-association,2016-05-09,Federal,1423142,,,Consumer Protection; Privacy and Security; Credit Reporting,"United States of America (on behalf of the Federal Trade Commission), Plaintiff, v. Credit Protection Association, LP, a limited partnership, Defendant",FCRA,
General LLC & Media LLC,https://www.ftc.gov/legal-library/browse/cases-proceedings/1523225-general-llc-media-llc,2016-05-03,Process Enforcement,1523225,Closed,,Consumer Protection; Office of the General Counsel; Bureau of Consumer Protection; Credit and Loans; Consumer Privacy; Data Security,"Federal Trade Commission v. General, LLC and Media, LLC",,
"Oracle Corporation, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3115-c4571-oracle-corporation-matter,2016-03-29,Administrative,1323115,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Data Security,"In the Matter of Oracle Corporation, a corporation",,
"Sitesearch Corporation, Doing Business As LeapLab",https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3192-x150060-sitesearch-corporation-doing-business-leaplab,2016-03-18,Federal,1423192,,,Consumer Protection; Bureau of Consumer Protection; Credit and Finance; Credit and Loans; Payments and Billing; Privacy and Security; Consumer Privacy; Credit Reporting,"Federal Trade Commission, Plaintiff, v. Sitesearch Corporation, Doing Business As LeapLab, formerly LeapLab Corporation, a Nevada corporation; LeapLab, LLC, formerly DirectROI, LLC, an Arizona limited liability company; Leads Company, LLC, a Nevada limited liability company; and John Ayers, an individual, Defendants",FCRA,
"Craig Brittain, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3120-craig-brittain-matter,2016-01-08,Administrative,1323120,,,Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Consumer Privacy,In the Matter of Craig Brittain,,
Retro Dreamer,https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3262-retro-dreamer,2015-12-17,Federal,1423262,,,Consumer Protection; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,"United States of America (For the Federal Trade Commission), Plaintiff, v. Retro Dreamer, a corporation, and Craig E. Sharpe, and Gavin S. Bowman, Defendants.",COPPA,
"LAI Systems, LLC",https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3261-lai-systems-llc,2015-12-17,Federal,1423261,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,"United States of America (For the Federal Trade Commission), Plaintiff, v. LAI Systems, LLC, a limited liability company, Defendant.",COPPA,
Wyndham Worldwide Corporation,https://www.ftc.gov/legal-library/browse/cases-proceedings/1023142-x120032-wyndham-worldwide-corporation,2015-12-11,Federal,1023142,,,Consumer Protection; Privacy and Security; Data Security,"Federal Trade Commission, Plaintiff, v. Wyndham Worldwide Corporation; Wyndham Hotel Group, LLC; Wyndham Hotels & Resorts, LLC; and Wyndham Hotel Management, Inc., Defendants",,
Sprint Corporation (Sprint ASL Program),https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3094-sprint-corporation-sprint-asl-program-0,2015-10-21,Federal,1423094,,,Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Credit Reporting,"United States of America (For the Federal Trade Commission), Plaintiff, v. Sprint Corporation, Defendant.",FCRA,
"Jhayrmaine Daniels (California Skate Line), In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3198-jhayrmaine-daniels-california-skate-line-matter,2015-10-09,Administrative,1523198,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,In the Matter of Jhayrmaine Daniels doing business as California Skate Line,Privacy Shield; Safe Harbor,
"Dale Jarrett Racing Adventure, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3190-dale-jarrett-racing-adventure-inc-matter,2015-10-09,Administrative,1523190,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Dale Jarrett Racing Adventure, Inc., a corporation",Privacy Shield; Safe Harbor,
"Golf Connect, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3141-golf-connect-llc-matter,2015-10-09,Administrative,1523141,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Golf Connect, LLC, a limited liability company.",Privacy Shield; Safe Harbor,
"Inbox Group, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3202-inbox-group-llc-matter,2015-10-09,Administrative,1523202,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Inbox Group, LLC, a limited liability company.",Privacy Shield; Safe Harbor,
"IOActive, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3187-ioactive-inc-matter,2015-10-09,Administrative,1523187,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of IOActive, Inc., a corporation.",Privacy Shield; Safe Harbor,
"Jubilant Clinsys, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3140-jubilant-clinsys-inc-matter,2015-10-09,Administrative,1523140,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Jubilant Clinsys, Inc., a corporation.",Privacy Shield; Safe Harbor,
"Just Bagels Manufacturing, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3199-just-bagels-manufacturing-inc-matter,2015-10-09,Administrative,1523199,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Just Bagels Manufacturing, Inc., a corporation.",Privacy Shield; Safe Harbor,
"NAICS Association, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3138-naics-association-llc-matter,2015-10-09,Administrative,1523138,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of NAICS Association, LLC, a limited liability company.",Privacy Shield; Safe Harbor,
"One Industries Corp., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3201-one-industries-corp-matter,2015-10-09,Administrative,1523201,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of One Industries Corp., a corporation.",Privacy Shield; Safe Harbor,
"Pinger, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3137-pinger-inc-matter,2015-10-09,Administrative,1523137,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Pinger, Inc.",Privacy Shield; Safe Harbor,
"SteriMed Medical Waste Solutions, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3193-sterimed-medical-waste-solutions-matter,2015-10-09,Administrative,1523193,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of SteriMed Medical Waste Solutions, a corporation.",Privacy Shield; Safe Harbor,
"Contract Logix, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3184-contract-logix-llc-matter,2015-10-09,Administrative,1523184,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Contract Logix, LLC, a limited liability company",Privacy Shield; Safe Harbor,
"Forensics Consulting Solutions, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3185-forensics-consulting-solutions-llc-matter,2015-10-09,Administrative,1523185,,,Consumer Protection; Privacy and Security; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Forensics Consulting Solutions, LLC, a limited liability company",Privacy Shield; Safe Harbor,
"Tricolor Auto Acceptance, LLC",https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3073-tricolor-auto-acceptance-llc,2015-09-17,Federal,1423073,,,Consumer Protection; Automobiles; Privacy and Security; Credit Reporting,"United States of America (For the Federal Trade Commission), Plaintiff, v. Tricolor Auto Acceptance Corporation, LLC, a limited liability company, Defendant.",FCRA,
"Nomi Technologies, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3251-nomi-technologies-inc-matter,2015-09-03,Administrative,1323251,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Consumer Privacy,"In the Matter of Nomi Technologies, Inc., a corporation",,
"TES Franchising, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3015-tes-franchising-llc-matter,2015-05-29,Administrative,1523015,,,Consumer Protection; Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of TES Franchising, LLC, a limited liability company.",Privacy Shield; Safe Harbor,
"American International Mailing, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/152-3051-american-international-mailing-inc-matter,2015-05-29,Administrative,1523051,,,Consumer Protection; Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of American International Mailing, Inc., a corporation.",Privacy Shield; Safe Harbor,
"Bayview Solutions, LLC",https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3226-x140062-bayview-solutions-llc,2015-04-21,Federal,1423226,,,Consumer Protection; Data Security,"Federal Trade Commission, Plaintiff, v. Bayview Solutions, LLC, Aron Tomko, Jonathan Ortiz, Defendants",,
"Cornerstone and Company, LLC",https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3211-x150005-cornerstone-company-llc,2015-04-21,Federal,1423211,,,Consumer Protection; Data Security,"Federal Trade Commission, Plaintiff, v. Cornerstone and Company, LLC, Brandon Lambert, Defendants.",,
"PaymentsMD, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3088-paymentsmd-llc-matter,2015-02-06,Administrative,1323088,,,Consumer Protection; Credit and Finance; Payments and Billing; Privacy and Security; Consumer Privacy; Health Privacy,"In the Matter of PaymentsMD, LLC, a limited liability company.",,
"Snapchat, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3078-snapchat-inc-matter,2014-12-31,Administrative,1323078,,,Consumer Protection; Privacy and Security; Consumer Privacy; Data Security; Tech,"In the Matter of Snapchat, Inc.",,
Yelp Inc.,https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3066-yelp-inc,2014-09-17,Federal,1323066,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,"United States of America (on behalf of the FTC), Plaintiff, v. Yelp Inc., Defendant",COPPA,
"TinyCo, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3209-tinyco-inc,2014-09-17,Federal,1323209,,,Consumer Protection; Office of Technology Research and Investigation (OTech); Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,"United States of America (on behalf of the FTC), Plaintiff, v. TinyCo, Inc., a corporation, Defendant",COPPA,
